イベント日,ビデオID,ビデオキャプション,経過分数,同時視聴ユーザー数,チャット数,いいネ数,カート追加クリック数,商品クリック数,ハイライト商品クリック数,シェア数
,,,52,177,0,0,0,0,0,0
,,,53,184,0,0,0,0,0,0
,,,54,188,0,0,0,2,2,0
,,,55,200,0,0,0,0,0,0
,,,56,188,0,0,0,0,0,0
,,,57,190,0,0,0,0,0,0
,,,58,192,0,0,0,0,0,0
,,,59,201,0,0,0,0,0,0
,,,60,208,0,0,0,0,0,0
,,,61,203,0,0,0,0,0,0
,,,62,186,0,0,0,0,0,0
,,,63,195,0,0,0,0,0,0
,,,64,187,0,0,0,0,0,0
,,,65,179,0,0,0,0,0,0
,,,66,173,0,0,0,1,1,0
,,,67,173,0,0,0,0,0,0
,,,68,167,0,0,0,0,0,0
,,,69,428,0,0,0,0,0,0
2026-02-03,oPGj7y,春を笑顔で過ごしたい！デリケートな時期を快適に迎える早めの準備LIVE（マツキヨココカラLIVE）,1,350,0,0,0,0,0,0
,,,2,223,1,6,0,0,0,0
,,,3,211,5,2,0,0,0,0
,,,4,214,0,1,0,0,0,0
,,,5,251,1,0,0,0,0,0
,,,6,256,2,6,0,0,0,0
,,,7,240,6,8,0,0,0,0
,,,8,241,1,2,0,4,4,0
,,,9,261,1,5,0,0,0,0
,,,10,251,0,0,0,0,0,0
,,,11,275,2,0,0,0,0,0
,,,12,286,1,33,0,0,0,0
,,,13,295,2,91,0,0,0,0
,,,14,296,3,5,0,4,4,0
,,,15,300,2,4,0,1,1,0
,,,16,298,1,2,0,2,2,0
,,,17,292,0,45,0,3,3,0
,,,18,304,2,18,0,2,2,0
,,,19,308,6,24,0,0,0,0
,,,20,315,2,16,0,0,0,0
,,,21,323,1,46,0,0,0,0
,,,22,320,1,11,0,1,1,0
,,,23,344,2,15,0,3,2,0
,,,24,328,1,17,0,1,0,0
,,,25,324,2,13,0,6,6,0
,,,26,336,1,13,0,7,6,0
,,,27,325,5,8,0,3,2,0
,,,28,321,2,2,0,1,1,0
,,,29,324,2,3,0,2,2,0
,,,30,337,3,7,0,1,1,0
,,,31,352,3,100,0,2,2,0
,,,32,350,5,89,0,0,0,0
,,,33,368,6,60,0,2,2,0
,,,34,359,6,14,0,1,1,0
,,,35,367,2,3,0,0,0,0
,,,36,364,0,1,0,0,0,0
,,,37,389,0,0,0,0,0,0
,,,38,376,2,3,0,1,1,0
,,,39,373,0,4,0,2,2,0
,,,40,362,2,6,0,1,1,0
,,,41,395,0,19,0,1,1,0
,,,42,350,7,27,0,3,2,0
,,,43,356,2,10,0,3,3,0
,,,44,361,2,1,0,4,4,0
,,,45,351,1,18,0,1,1,0
,,,46,375,0,29,0,4,4,0
,,,47,396,2,31,0,1,1,0
,,,48,387,6,16,0,0,0,0
,,,49,376,0,24,0,0,0,0
,,,50,376,0,29,0,3,3,0
,,,51,389,3,22,0,3,3,0
,,,52,381,3,33,0,1,1,0
,,,53,360,1,20,0,1,1,0
,,,54,367,2,25,0,2,2,0
,,,55,374,0,14,0,1,1,0
,,,56,378,1,14,0,4,4,0
,,,57,390,0,0,0,2,2,0
,,,58,413,1,3,0,6,6,0
,,,59,392,0,3,0,2,2,0
,,,60,396,1,3,0,2,2,0
,,,61,395,1,16,0,5,4,0
,,,62,391,0,6,0,3,2,0
,,,63,390,2,10,0,0,0,0
,,,64,413,1,7,0,0,0,0
,,,65,409,1,0,0,0,0,0
,,,66,383,2,18,0,1,1,0
,,,67,390,3,61,0,1,1,0
,,,68,383,3,51,0,1,1,0
,,,69,361,1,31,0,7,7,0
,,,70,374,0,8,0,2,2,0
,,,71,403,1,19,0,6,5,0
,,,72,368,3,22,0,3,3,0
,,,73,378,0,14,0,2,2,0
,,,74,357,1,29,0,1,1,0
,,,75,355,3,70,0,5,5,0
,,,76,362,2,250,0,0,0,0
,,,77,1186,4,139,0,1,1,0
2026-01-27,oQGrbX,【保湿ケア】カサつく前に！冬の乾燥に寄り添うセルフケアアイテム特集（マツキヨココカラLIVE）,1,379,1,2,0,0,0,0
,,,2,244,2,13,0,0,0,0
,,,3,237,3,2,0,0,0,0
,,,4,251,3,3,0,0,0,0
,,,5,278,1,166,0,0,0,0
,,,6,299,0,1,0,0,0,0
,,,7,308,0,5,0,0,0,0
,,,8,326,7,307,0,0,0,0
,,,9,328,3,383,0,0,0,0
,,,10,327,5,406,0,0,0,0
,,,11,352,10,271,0,1,0,0
,,,12,372,1,421,0,0,0,0
,,,13,365,0,367,0,0,0,0
,,,14,384,3,415,0,1,1,0
,,,15,382,4,430,0,0,0,0
,,,16,381,5,694,0,5,5,0
,,,17,400,10,443,0,21,21,0
,,,18,387,2,594,0,23,22,0
,,,19,374,3,457,0,0,0,0
,,,20,382,4,79,0,0,0,0
,,,21,395,4,439,0,1,1,0
,,,22,388,3,479,0,3,3,0
,,,23,403,5,788,0,4,2,0
,,,24,373,4,573,0,0,0,0
,,,25,388,1,494,0,6,5,0
,,,26,399,3,407,0,3,2,0
,,,27,408,0,524,0,1,1,0
,,,28,425,3,450,0,3,3,0
,,,29,405,4,584,0,3,3,0
,,,30,407,1,514,0,1,0,0
,,,31,403,2,383,0,1,1,0
,,,32,402,5,478,0,1,1,0
,,,33,418,4,216,0,0,0,0
,,,34,414,4,357,0,0,0,0
,,,35,437,10,378,0,3,1,0
,,,36,427,9,227,0,0,0,0
,,,37,415,0,466,0,7,7,0
,,,38,436,6,169,0,1,0,0
,,,39,436,4,495,0,0,0,0
,,,40,476,0,529,0,3,0,0
,,,41,472,3,665,0,1,1,0
,,,42,450,1,662,0,1,1,0
,,,43,470,1,482,0,1,0,0
,,,44,495,1,393,0,6,5,0
,,,45,496,1,506,0,1,1,0
,,,46,462,3,521,0,1,1,0
,,,47,453,2,688,0,0,0,0
,,,48,442,1,634,0,4,3,0
,,,49,431,4,467,0,2,2,0
,,,50,446,7,478,0,1,1,0
,,,51,453,2,636,0,2,1,0
,,,52,433,2,213,0,3,3,0
,,,53,428,4,397,0,3,3,0
,,,54,445,4,484,0,5,4,0
,,,55,465,3,419,0,1,1,0
,,,56,456,4,573,0,1,1,0
,,,57,434,4,514,0,3,3,0
,,,58,434,2,266,0,0,0,0
,,,59,439,4,436,0,3,3,0
,,,60,442,8,432,0,2,2,0
,,,61,475,4,485,0,9,9,0
,,,62,487,2,481,0,3,3,0
,,,63,492,3,508,0,2,2,0
,,,64,476,1,544,0,1,0,0
,,,65,464,2,500,0,1,1,0
,,,66,470,9,445,0,0,0,0
,,,67,467,0,1188,0,0,0,0
,,,68,452,7,859,0,1,1,0
,,,69,1450,4,765,0,5,2,0
2026-01-23,oeVYOP,★260123本番,1,1,0,0,0,0,0,0
,,,2,1,0,0,0,0,0,0
,,,3,1,0,0,0,0,0,0
,,,4,1,0,0,0,0,0,0
,,,5,1,0,0,0,0,0,0
,,,6,5,0,0,0,0,0,0
2026-01-20,gYGRpY,ライブ配信で反響が大きかった  「ガチ推し」コスメランキング,1,382,0,1,0,0,0,0
,,,2,256,2,1,0,0,0,0
,,,3,258,1,0,0,0,0,0
,,,4,280,0,0,0,0,0,0
,,,5,313,0,0,0,0,0,0
,,,6,326,0,0,0,0,0,0
,,,7,326,2,37,0,0,0,0
,,,8,321,2,34,0,0,0,0
,,,9,304,1,1,0,0,0,0
,,,10,314,1,0,0,2,1,0
,,,11,331,0,2,0,0,0,0
,,,12,343,1,2,0,0,0,0
,,,13,319,1,1,0,2,2,0
,,,14,350,0,4,0,0,0,0
,,,15,354,0,9,0,0,0,0
,,,16,352,0,19,0,1,1,0
,,,17,365,2,0,0,0,0,0
,,,18,350,2,4,0,0,0,0
,,,19,357,0,22,0,3,3,0
,,,20,381,0,2,0,0,0,0
,,,21,382,1,4,0,0,0,0
,,,22,387,0,4,0,1,1,0
,,,23,382,3,0,0,0,0,0
,,,24,404,0,6,0,0,0,0
,,,25,401,0,26,0,0,0,0
,,,26,377,3,4,0,2,2,0
,,,27,402,1,61,0,1,1,0
,,,28,383,0,12,0,0,0,0
,,,29,372,2,1,0,1,1,0
,,,30,398,0,11,0,2,2,0
,,,31,408,0,0,0,3,3,0
,,,32,409,0,2,0,4,2,0
,,,33,409,0,98,0,5,3,0
,,,34,397,0,180,0,1,1,0
,,,35,413,1,38,0,2,2,0
,,,36,397,1,30,0,0,0,0
,,,37,390,0,5,0,2,2,0
,,,38,407,5,11,0,1,1,0
,,,39,438,2,296,0,0,0,0
,,,40,450,0,267,0,0,0,0
,,,41,450,2,208,0,3,3,0
,,,42,474,0,14,0,2,2,0
,,,43,456,1,205,0,1,1,0
,,,44,479,0,258,0,0,0,0
,,,45,471,0,211,0,6,6,0
,,,46,478,0,1,0,4,4,0
,,,47,462,1,25,0,1,1,0
,,,48,482,1,35,0,1,1,0
,,,49,466,3,51,0,0,0,0
,,,50,461,0,22,0,5,5,0
,,,51,452,2,42,0,0,0,0
,,,52,463,1,236,0,4,4,0
,,,53,451,3,160,0,3,3,0
,,,54,454,2,497,0,3,3,0
,,,55,456,2,528,0,2,2,0
,,,56,446,2,410,0,0,0,0
,,,57,440,3,321,0,0,0,0
,,,58,470,0,305,0,1,1,0
,,,59,467,4,302,0,4,4,0
,,,60,478,3,116,0,4,4,0
,,,61,484,3,0,0,2,1,0
,,,62,474,2,30,0,2,2,0
,,,63,471,3,51,0,6,5,0
,,,64,474,5,73,0,2,0,0
,,,65,466,1,34,0,0,0,0
,,,66,483,1,24,0,1,1,0
,,,67,470,1,114,0,0,0,0
,,,68,468,0,140,0,2,1,0
,,,69,853,1,140,0,0,0,0
2026-01-13,gpDRlb,【新春LIVE】身だしなみで自信を。  新年のスタートダッシュを切るセルフケア特集  (マツキヨココカラLIVE）,1,435,0,0,0,0,0,0
,,,2,264,0,0,0,0,0,0
,,,3,270,3,0,0,0,0,0
,,,4,259,1,0,0,0,0,0
,,,5,267,1,0,0,1,1,0
,,,6,301,0,0,0,0,0,0
,,,7,305,1,0,0,0,0,0
,,,8,304,1,3,0,0,0,0
,,,9,315,3,0,0,0,0,0
,,,10,339,2,21,0,0,0,0
,,,11,342,2,0,0,1,1,0
,,,12,332,1,30,0,1,1,0
,,,13,349,1,237,0,1,1,0
,,,14,361,0,9,0,1,1,0
,,,15,333,0,0,0,1,1,0
,,,16,349,0,0,0,3,3,0
,,,17,353,1,1,0,2,2,0
,,,18,347,3,1,0,2,1,0
,,,19,355,0,0,0,1,1,0
,,,20,387,2,0,0,1,1,0
,,,21,377,3,0,0,2,2,0
,,,22,365,0,0,0,0,0,0
,,,23,364,2,0,0,2,2,0
,,,24,386,0,0,0,1,1,0
,,,25,398,3,31,0,1,1,0
,,,26,384,0,2,0,3,3,0
,,,27,389,0,6,0,1,1,0
,,,28,383,1,0,0,1,1,0
,,,29,400,1,0,0,1,1,0
,,,30,380,0,0,0,2,2,0
,,,31,378,0,0,0,2,2,0
,,,32,386,1,0,0,0,0,0
,,,33,387,3,3,0,2,1,0
,,,34,385,3,53,0,1,0,0
,,,35,387,3,4,0,1,1,0
,,,36,386,2,0,0,1,1,0
,,,37,384,1,0,0,2,2,0
,,,38,397,1,2,0,0,0,0
,,,39,406,5,1,0,0,0,0
,,,40,408,1,12,0,0,0,0
,,,41,400,0,0,0,1,1,0
,,,42,413,0,9,0,1,0,0
,,,43,421,1,7,0,0,0,0
,,,44,412,0,1,0,0,0,0
,,,45,406,0,5,0,1,1,0
,,,46,430,0,3,0,0,0,0
,,,47,436,5,18,0,0,0,0
,,,48,450,0,64,0,0,0,0
,,,49,439,5,15,0,1,1,0
,,,50,1174,0,88,0,1,1,0
,gpDmnX,ライブ配信で反響が大きかった  「ガチ推し」コスメランキング,1,2,0,0,0,0,0,0
2025-12-23,5DGKqE,Copy  of  「年内ラスト配信！」  自腹購入アイテムプレゼン対決！（マツキヨココカラLIVE）,2,1,0,0,0,0,0,0
,,,3,3,0,0,0,0,0,0
,,,4,4,0,0,0,0,0,0
,,,5,4,0,0,0,0,0,0
,,,6,4,0,0,0,0,0,0
,,,7,4,0,0,0,0,0,0
,,,8,4,0,0,0,0,0,0
,,,9,4,0,0,0,0,0,0
,,,10,4,0,0,0,0,0,0
,,,11,4,0,0,0,0,0,0
,,,12,4,0,0,0,0,0,0
,,,13,4,0,0,0,0,0,0
,,,14,4,0,0,0,0,0,0
,,,15,4,0,0,0,0,0,0
,,,16,4,0,0,0,0,0,0
,,,17,4,0,0,0,0,0,0
,,,18,4,0,0,0,0,0,0
,,,19,4,0,0,0,0,0,0
,,,20,4,0,0,0,0,0,0
,,,21,4,0,0,0,0,0,0
,,,22,4,0,0,0,0,0,0
,,,23,3,0,0,0,0,0,0
,,,24,3,0,0,0,0,0,0
,,,25,3,0,0,0,0,0,0
,,,26,3,0,0,0,0,0,0
,,,27,3,0,0,0,0,0,0
,,,28,3,0,0,0,0,0,0
,,,29,3,0,0,0,0,0,0
,,,30,3,0,0,0,0,0,0
,,,31,3,0,0,0,0,0,0
,,,32,3,0,0,0,0,0,0
,,,33,3,0,0,0,0,0,0
,,,34,3,0,0,0,0,0,0
,,,35,3,0,0,0,0,0,0
,,,36,3,0,0,0,0,0,0
,,,37,3,0,0,0,0,0,0
,,,38,3,0,0,0,0,0,0
,,,39,3,0,0,0,0,0,0
,,,40,3,0,0,0,0,0,0
,,,41,3,0,0,0,0,0,0
,,,42,3,0,0,0,0,0,0
,,,43,3,0,0,0,0,0,0
,,,44,3,0,0,0,0,0,0
,,,45,3,0,0,0,0,0,0
,,,46,2,0,0,0,0,0,0
,,,47,2,0,0,0,0,0,0
,,,48,2,0,0,0,0,0,0
,,,49,2,0,0,0,0,0,0
,,,50,2,0,0,0,0,0,0
,,,51,2,0,0,0,0,0,0
,,,52,2,0,0,0,0,0,0
,,,53,2,0,0,0,0,0,0
,,,54,2,0,0,0,0,0,0
,,,55,2,0,0,0,0,0,0
,,,56,2,0,0,0,0,0,0
,,,57,2,0,0,0,0,0,0
,,,58,2,0,0,0,0,0,0
,,,59,2,0,0,0,0,0,0
,,,60,2,0,0,0,0,0,0
,,,61,2,0,0,0,0,0,0
,,,62,2,0,0,0,0,0,0
,,,63,2,0,0,0,0,0,0
,,,64,4,0,0,0,0,0,0
,5DGY2E,「年内ラスト配信！」  自腹購入アイテムプレゼン対決！（マツキヨココカラLIVE）,1,179,5,0,0,0,0,0
,,,2,217,11,5,0,0,0,0
,,,3,200,2,63,0,0,0,0
,,,4,230,4,2,0,0,0,0
,,,5,248,7,1,0,0,0,0
,,,6,266,1,35,0,1,1,0
,,,7,269,3,2,0,2,2,0
,,,8,273,3,1,0,1,1,0
,,,9,283,0,3,0,0,0,0
,,,10,305,3,7,0,1,1,0
,,,11,293,3,3,0,3,3,0
,,,12,285,1,0,0,1,1,0
,,,13,295,0,0,0,0,0,0
,,,14,320,7,1,0,0,0,0
,,,15,326,2,3,0,0,0,0
,,,16,333,0,1,0,1,1,0
,,,17,348,3,2,0,2,2,0
,,,18,317,4,1,0,2,2,0
,,,19,331,5,0,0,3,2,0
,,,20,334,4,2,0,2,2,0
,,,21,338,1,68,0,4,4,0
,,,22,375,3,204,0,1,1,0
,,,23,367,2,4,0,1,1,0
,,,24,354,9,1,0,0,0,0
,,,25,345,0,3,0,0,0,0
,,,26,335,4,2,0,0,0,0
,,,27,343,5,1,0,1,1,0
,,,28,379,4,0,0,1,1,0
,,,29,369,1,1,0,0,0,0
,,,30,347,5,0,0,0,0,0
,,,31,371,1,197,0,3,3,0
,,,32,379,3,39,0,0,0,0
,,,33,387,2,0,0,3,3,0
,,,34,401,0,3,0,1,1,0
,,,35,369,1,7,0,2,2,0
,,,36,375,4,0,0,0,0,0
,,,37,405,5,2,0,2,1,0
,,,38,383,3,4,0,0,0,0
,,,39,388,6,34,0,1,1,0
,,,40,386,2,2,0,1,1,0
,,,41,412,1,14,0,4,1,0
,,,42,397,1,5,0,0,0,0
,,,43,392,1,16,0,0,0,0
,,,44,387,3,1,0,0,0,0
,,,45,402,5,0,0,1,1,0
,,,46,404,7,1,0,0,0,0
,,,47,424,3,12,0,1,1,0
,,,48,411,7,22,0,1,1,0
,,,49,406,0,19,0,3,3,0
,,,50,406,0,2,0,0,0,0
,,,51,408,4,2,0,2,2,0
,,,52,405,2,5,0,3,3,0
,,,53,403,2,32,0,0,0,0
,,,54,426,1,3,0,1,1,0
,,,55,436,2,2,0,1,1,0
,,,56,414,1,1,0,2,1,0
,,,57,408,6,45,0,3,3,0
,,,58,424,3,1,0,0,0,0
,,,59,429,3,4,0,2,1,0
,,,60,437,6,1,0,0,0,0
,,,61,406,6,0,0,0,0,0
,,,62,398,4,1,0,1,1,0
,,,63,394,1,4,0,1,1,0
,,,64,403,1,1,0,3,3,1
,,,65,406,1,4,0,0,0,0
,,,66,397,1,1,0,1,1,0
,,,67,402,4,339,0,5,3,0
,,,68,1458,3,338,0,1,1,0
2025-12-19,oeVM67,★配信レクチャー1219,5,1,0,0,0,0,0,0
2025-12-16,vJG0ln,前髪がキマれば気分もアガる！  プロスタイルのバブル・いち髪のコーム  “なりたい”をつくる前髪スタイリング,1,197,2,13,0,0,0,0
,,,2,237,0,59,0,1,1,0
,,,3,267,5,62,0,0,0,0
,,,4,258,6,26,0,0,0,0
,,,5,273,8,1,0,1,1,0
,,,6,274,2,28,0,7,7,0
,,,7,268,4,1,0,0,0,0
,,,8,278,8,0,0,0,0,0
,,,9,306,3,7,0,2,2,0
,,,10,317,2,17,0,1,1,0
,,,11,311,7,59,0,0,0,0
,,,12,325,3,4,0,0,0,0
,,,13,326,3,13,0,0,0,0
,,,14,323,1,4,0,0,0,0
,,,15,347,0,4,0,1,1,0
,,,16,326,9,7,0,2,0,0
,,,17,325,2,9,0,0,0,0
,,,18,342,7,11,0,0,0,0
,,,19,360,2,352,0,4,4,0
,,,20,378,2,254,0,3,3,0
,,,21,377,3,97,0,5,5,0
,,,22,382,4,74,0,0,0,0
,,,23,379,8,43,0,0,0,0
,,,24,379,3,7,0,1,1,0
,,,25,386,5,13,0,2,2,0
,,,26,387,4,9,0,0,0,0
,,,27,401,11,8,0,0,0,0
,,,28,387,3,188,0,4,4,0
,,,29,392,6,107,0,5,5,0
,,,30,410,0,8,0,1,1,0
,,,31,415,9,0,0,1,1,0
,,,32,432,1,10,0,4,3,0
,,,33,430,1,4,0,1,1,0
,,,34,433,0,1,0,0,0,0
,,,35,426,0,0,0,1,1,0
,,,36,403,5,17,0,1,1,0
,,,37,428,2,1,0,1,1,0
,,,38,400,1,39,0,2,1,0
,,,39,408,3,16,0,3,3,0
,,,40,417,0,15,0,1,1,0
,,,41,424,1,98,0,1,1,0
,,,42,392,3,66,0,1,1,0
,,,43,406,1,101,0,0,0,0
,,,44,421,10,20,0,1,1,0
,,,45,423,5,2,0,0,0,0
,,,46,407,4,1,0,0,0,0
,,,47,408,4,158,0,3,3,0
,,,48,418,3,47,0,2,2,0
,,,49,420,5,67,0,5,5,0
,,,50,418,5,74,0,3,3,0
,,,51,406,4,173,0,3,3,0
,,,52,438,1,91,0,1,1,0
,,,53,431,4,91,0,3,3,0
,,,54,428,1,3,0,3,3,0
,,,55,429,4,22,0,4,4,0
,,,56,430,2,114,0,0,0,0
,,,57,412,6,94,0,1,1,0
,,,58,426,4,244,0,10,10,0
,,,59,1102,2,241,0,5,5,0
2025-12-09,5aXdRa,＼年末の大掃除、迷ったらこれ！／  溜まった汚れをゴッソリ、まとめてスッキリ  万能アイテム大集合！（マツキヨココカラLIVE）,1,241,0,0,0,0,0,0
,,,2,250,0,9,0,0,0,0
,,,3,237,2,10,0,0,0,0
,,,4,240,2,19,0,0,0,0
,,,5,265,2,45,0,0,0,0
,,,6,291,1,36,0,0,0,0
,,,7,300,0,53,0,1,1,0
,,,8,273,0,22,0,0,0,0
,,,9,302,3,73,0,0,0,0
,,,10,298,0,57,0,0,0,0
,,,11,313,0,107,0,0,0,0
,,,12,331,0,46,0,0,0,0
,,,13,349,1,70,0,0,0,0
,,,14,324,0,57,0,1,1,0
,,,15,349,1,75,0,0,0,0
,,,16,348,1,57,0,2,2,0
,,,17,356,3,105,0,0,0,0
,,,18,362,1,112,0,1,1,0
,,,19,379,0,113,0,1,1,0
,,,20,363,0,83,0,0,0,0
,,,21,378,3,39,0,0,0,0
,,,22,379,2,81,0,1,0,0
,,,23,397,0,6,0,0,0,0
,,,24,412,1,21,0,1,1,0
,,,25,419,1,65,0,0,0,0
,,,26,415,2,56,0,0,0,0
,,,27,414,0,125,0,0,0,0
,,,28,411,1,110,0,2,2,0
,,,29,391,0,100,0,0,0,0
,,,30,399,0,101,0,0,0,0
,,,31,419,0,83,0,1,0,0
,,,32,407,0,83,0,1,1,0
,,,33,429,2,38,0,3,2,0
,,,34,412,0,96,0,1,1,0
,,,35,401,0,56,0,2,1,0
,,,36,417,0,68,0,0,0,0
,,,37,405,0,21,0,0,0,0
,,,38,417,3,55,0,2,2,0
,,,39,416,0,71,0,0,0,0
,,,40,405,0,42,0,1,1,0
,,,41,423,0,44,0,0,0,0
,,,42,446,3,84,0,1,1,0
,,,43,452,0,135,0,0,0,0
,,,44,423,1,104,0,1,1,0
,,,45,440,0,127,0,1,1,0
,,,46,446,2,153,0,2,1,0
,,,47,434,1,75,0,2,2,0
,,,48,432,0,86,0,0,0,0
,,,49,430,0,63,0,3,2,0
,,,50,461,0,38,0,0,0,0
,,,51,452,2,87,0,1,1,0
,,,52,450,1,117,0,1,1,0
,,,53,452,0,85,0,1,1,0
,,,54,458,5,160,0,1,1,0
,,,55,463,1,151,0,1,1,0
,,,56,471,0,82,0,1,1,0
,,,57,459,1,103,0,2,2,0
,,,58,472,0,114,0,0,0,0
,,,59,449,0,74,0,0,0,0
,,,60,454,0,14,0,0,0,0
,,,61,452,1,110,0,1,1,0
,,,62,446,0,81,0,1,1,0
,,,63,425,8,66,0,0,0,0
,,,64,433,0,93,0,3,3,0
,,,65,446,0,101,0,2,2,0
,,,66,1476,0,148,0,6,6,0
2025-12-02,o8q631,【時短ミニマルメイク】  「nake」で叶える、素肌を活かした新提案,1,197,0,0,0,0,0,0
,,,2,217,0,0,0,0,0,0
,,,3,230,0,187,0,0,0,0
,,,4,234,1,3,0,0,0,0
,,,5,259,4,2,0,0,0,0
,,,6,269,0,3,0,3,3,0
,,,7,256,1,0,0,4,4,0
,,,8,257,0,0,0,0,0,0
,,,9,262,0,4,0,0,0,0
,,,10,271,2,0,0,1,1,0
,,,11,297,1,1,0,1,1,0
,,,12,299,1,0,0,0,0,0
,,,13,334,1,21,0,2,1,0
,,,14,310,2,119,0,1,1,0
,,,15,315,2,2,0,2,2,0
,,,16,335,0,0,0,1,1,0
,,,17,348,1,0,0,0,0,0
,,,18,358,3,2,0,2,2,0
,,,19,363,4,11,0,4,3,0
,,,20,384,1,1,0,3,3,0
,,,21,367,1,18,0,0,0,0
,,,22,360,2,1,0,0,0,0
,,,23,387,2,0,0,0,0,0
,,,24,372,0,0,0,2,2,0
,,,25,375,4,3,0,0,0,0
,,,26,371,2,3,0,3,3,0
,,,27,373,2,7,0,4,4,0
,,,28,366,0,1,0,1,0,0
,,,29,393,1,1,0,3,0,0
,,,30,404,0,10,0,2,1,0
,,,31,390,7,48,0,1,1,0
,,,32,381,2,0,0,1,1,0
,,,33,394,4,4,0,0,0,0
,,,34,392,0,1,0,1,1,0
,,,35,391,4,7,0,0,0,0
,,,36,377,1,3,0,3,3,0
,,,37,411,3,1,0,1,1,0
,,,38,389,1,7,0,0,0,0
,,,39,397,0,0,0,2,2,0
,,,40,407,1,10,0,2,2,0
,,,41,407,3,2,0,3,3,0
,,,42,408,2,9,0,1,1,0
,,,43,428,2,58,0,0,0,0
,,,44,429,3,8,0,0,0,0
,,,45,422,2,6,0,2,2,0
,,,46,401,3,9,0,6,6,0
,,,47,404,1,13,0,0,0,0
,,,48,388,0,4,0,2,2,0
,,,49,398,0,10,0,0,0,0
,,,50,411,1,0,0,4,4,0
,,,51,401,3,0,0,0,0,0
,,,52,396,5,4,0,4,4,0
,,,53,438,6,5,0,1,1,0
,,,54,437,3,3,0,2,2,0
,,,55,423,0,0,0,2,2,0
,,,56,424,2,0,0,0,0,0
,,,57,424,0,0,0,1,0,0
,,,58,435,6,125,0,1,1,0
,,,59,445,3,175,0,2,2,0
,,,60,446,5,163,0,4,4,0
,,,61,439,2,4,0,0,0,0
,,,62,411,5,28,0,6,6,0
,,,63,410,4,50,0,12,12,0
,,,64,427,4,12,0,2,2,0
,,,65,453,1,15,0,3,3,0
,,,66,447,0,62,0,0,0,0
,,,67,438,6,33,0,0,0,0
,,,68,406,5,55,0,1,1,0
,,,69,1294,4,58,0,5,2,0
2025-11-28,o9q9Rr,描くたびケアできる  まつ毛美容液発想の進化系アイライナー「LINE  BOOST」（マツキヨココカラLIVE）,1,224,5,67,0,0,0,0
,,,2,252,2,10,0,1,1,0
,,,3,266,4,4,0,1,0,0
,,,4,292,1,67,0,2,2,0
,,,5,280,10,14,0,2,2,0
,,,6,287,8,5,0,1,1,0
,,,7,290,3,54,0,1,1,0
,,,8,301,0,281,0,5,5,0
,,,9,322,1,334,0,1,1,0
,,,10,312,4,265,0,1,1,0
,,,11,305,1,33,0,1,1,0
,,,12,331,2,25,0,1,1,0
,,,13,322,2,10,0,1,1,0
,,,14,346,1,79,0,0,0,0
,,,15,356,1,74,0,1,1,0
,,,16,336,5,54,0,0,0,0
,,,17,355,3,7,0,3,3,0
,,,18,353,1,1,0,1,1,0
,,,19,352,2,1,0,1,1,0
,,,20,356,0,1,0,2,2,0
,,,21,382,1,0,0,0,0,0
,,,22,366,2,2,0,5,5,0
,,,23,358,3,0,0,3,3,0
,,,24,362,2,1,0,4,4,0
,,,25,373,4,0,0,4,4,0
,,,26,389,4,1,0,9,8,0
,,,27,373,4,24,0,4,4,0
,,,28,379,4,1,0,1,1,0
,,,29,385,3,5,0,3,3,0
,,,30,390,5,10,0,0,0,0
,,,31,400,2,1,0,0,0,0
,,,32,389,5,112,0,3,3,0
,,,33,395,4,165,0,1,1,0
,,,34,389,1,31,0,0,0,0
,,,35,401,3,3,0,2,2,0
,,,36,407,0,11,0,6,6,0
,,,37,402,3,0,0,1,1,0
,,,38,395,3,32,0,0,0,0
,,,39,387,3,51,0,0,0,0
,,,40,394,3,51,0,2,2,0
,,,41,420,0,13,0,0,0,0
,,,42,416,2,16,0,0,0,0
,,,43,429,2,116,0,2,2,0
,,,44,441,4,4,0,1,1,0
,,,45,426,3,2,0,0,0,0
,,,46,444,2,0,0,0,0,0
,,,47,426,8,144,0,0,0,0
,,,48,437,1,2,0,1,1,0
,,,49,419,3,32,0,1,1,0
,,,50,413,4,101,0,2,2,0
,,,51,408,6,30,0,2,2,0
,,,52,420,3,1,0,1,1,0
,,,53,441,2,1,0,4,4,0
,,,54,454,5,0,0,2,2,0
,,,55,432,1,12,0,1,1,0
,,,56,435,1,133,0,2,2,0
,,,57,459,1,217,0,0,0,0
,,,58,448,2,334,0,5,4,0
,,,59,427,3,33,0,0,0,0
,,,60,439,1,0,0,1,1,0
,,,61,413,0,0,0,1,1,0
,,,62,424,1,0,0,3,2,0
,,,63,412,10,0,0,1,1,0
,,,64,436,2,289,0,0,0,0
,,,65,1627,2,1,0,2,2,0
2025-11-18,o0qkqk,【美容インフルエンサーも推し確！】  +tmrのタンパク質着目ケアで  ブリーチ毛・ハイダメージ毛もするん♪な指通り（マツキヨココカラLIVE）,1,180,0,88,0,1,1,0
,,,2,238,1,285,0,1,1,0
,,,3,254,7,277,0,0,0,0
,,,4,280,1,225,0,1,1,0
,,,5,272,4,44,0,0,0,0
,,,6,280,12,163,0,1,1,0
,,,7,296,8,98,0,1,1,0
,,,8,302,4,307,0,0,0,0
,,,9,294,13,661,0,0,0,0
,,,10,277,7,427,0,3,3,0
,,,11,299,3,425,0,0,0,0
